entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,auth_success,session_duration,command_sequence,device_fingerprint,label
dev_0108,edge_device,2024-01-01 00:03:00,79.220.74.38,JP-TYO,/api/v1/payments,certificate,True,1.56,[],"{""os"": ""macOS 14"", ""mac"": ""e8:fc:44:ef:8b:62"", ""proto"": ""MQTT""}",normal
dev_0117,edge_device,2024-01-01 00:57:00,140.17.163.138,SG-SGP,/api/v1/orders,certificate,True,3.08,[],"{""os"": ""CentOS 7"", ""mac"": ""bf:c3:e5:c1:c0:29"", ""proto"": ""MQTT""}",normal
svc_0089,service_account,2024-01-01 01:17:00,21.38.183.22,JP-TYO,/api/v1/export,token,True,6.54,[],"{""os"": ""Windows 11"", ""mac"": ""29:17:87:6b:d5:0f"", ""proto"": ""TLS1.3""}",normal
dev_0098,edge_device,2024-01-01 02:06:00,181.198.60.13,JP-TYO,/api/v1/payments,certificate,True,3.24,[],"{""os"": ""CentOS 7"", ""mac"": ""99:f3:08:bc:a9:38"", ""proto"": ""TLS1.3""}",normal
svc_0085,service_account,2024-01-01 03:50:00,202.120.121.122,BR-SAO,/admin/users,token,True,7.16,"[""ls"", ""awk""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""2c:21:9e:cb:f5:d2"", ""proto"": ""TLS1.3""}",normal
svc_0093,service_account,2024-01-01 03:59:00,68.176.156.98,UK-LDN,/api/v1/logs,token,True,6.75,[],"{""os"": ""CentOS 7"", ""mac"": ""ff:9d:fe:0b:2e:c9"", ""proto"": ""TLS1.3""}",normal
svc_0093,service_account,2024-01-01 04:17:00,20.153.225.213,UK-LDN,/api/v1/logs,token,True,4.63,[],"{""os"": ""CentOS 7"", ""mac"": ""ff:9d:fe:0b:2e:c9"", ""proto"": ""TLS1.3""}",normal
svc_0081,service_account,2024-01-01 04:55:00,77.148.247.241,JP-TYO,/internal/secrets,token,True,4.36,"[""grep"", ""awk""]","{""os"": ""CentOS 7"", ""mac"": ""bd:be:e3:27:46:bb"", ""proto"": ""TLS1.3""}",normal
dev_0108,edge_device,2024-01-01 05:17:00,177.49.11.78,JP-TYO,/api/v1/payments,certificate,True,1.97,[],"{""os"": ""macOS 14"", ""mac"": ""e8:fc:44:ef:8b:62"", ""proto"": ""MQTT""}",normal
svc_0080,service_account,2024-01-01 05:53:00,192.168.245.30,US-TX,/api/v1/payments,token,True,5.5,[],"{""os"": ""CentOS 7"", ""mac"": ""11:40:22:78:bb:b9"", ""proto"": ""TLS1.3""}",normal
